name,lanetype,the_length
WINANS WAY,BIKE LANE,NA
WINSTON AVE,BIKE LANE,NA
WINSTON-ROSSITER,BIKE LANE,NA
WINSTON-STONEWOOD,BIKE LANE,NA
WYMAN PARK DR,BIKE LANE,NA
YORK ROAD,BIKE LANE,NA
ALBEMARLE ST,CONTRAFLOW,NA
ALICEANNA ST,CONTRAFLOW,NA
ARGONNE DR,CONTRAFLOW,NA
ART MUSEUM DR,CONTRAFLOW,NA
AUCHENTOROLY TERR,CONTRAFLOW,NA
BANK ST,CONTRAFLOW,NA
BATTERY AVE,CONTRAFLOW,NA
BEAUMONT AVE,CONTRAFLOW,NA
BELAIR ROAD,CONTRAFLOW,NA
BOSTON ST,CONTRAFLOW,NA
CHARLCOTE ROAD,CONTRAFLOW,NA
CHERRY HILL ROAD,CONTRAFLOW,NA
CHERRYLAND ROAD,CONTRAFLOW,NA
CHESTNUT AVE,CONTRAFLOW,NA
CLARKS LANE,CONTRAFLOW,NA
CORSE AVE,CONTRAFLOW,NA
CROSS COUNTRY BLVD,CONTRAFLOW,NA
CURRAN DR,CONTRAFLOW,NA
DOLFIELD AVE,CONTRAFLOW,NA
DRUID PARK LAKE DR,CONTRAFLOW,NA
E 33RD ST,CONTRAFLOW,NA
E 34TH ST,CONTRAFLOW,NA
E BALTIMORE ST,CONTRAFLOW,NA
E CLEMENT ST,CONTRAFLOW,NA
E COLD SPRING LANE,CONTRAFLOW,NA
E GITTINGS ST,CONTRAFLOW,NA
E LANVALE ST,CONTRAFLOW,714.59338388
E LOMBARD ST,CONTRAFLOW,NA
E MONUMENT ST,CONTRAFLOW,NA
E MOUNT ROYAL AVE,CONTRAFLOW,NA
E PRATT ST,CONTRAFLOW,NA
E UNIVERSITY PKWY,CONTRAFLOW,NA
EASTERN AVE,CONTRAFLOW,NA
ECHODALE AVE,CONTRAFLOW,NA
EDMONDSON AVE,CONTRAFLOW,NA
ESSEX ST,CONTRAFLOW,NA
ETHELBERT AVE,CONTRAFLOW,NA
FAIRHAVEN AVE,CONTRAFLOW,NA
FAIT AVE,CONTRAFLOW,NA
FALLSWAY,CONTRAFLOW,NA
FAWN ST,CONTRAFLOW,268.05810503
FLEET ST,CONTRAFLOW,NA
FRANKFORD AVE,CONTRAFLOW,NA
FRANKFORD ROAD,CONTRAFLOW,NA
FRANKFURST AVE,CONTRAFLOW,NA
FREDERICK AVE,CONTRAFLOW,NA
FREDERICK ROAD,CONTRAFLOW,NA
GARRISON BLVD,CONTRAFLOW,NA
GLEN AVE,CONTRAFLOW,NA
GOUGH ST,CONTRAFLOW,NA
GREENSPRING AVE,CONTRAFLOW,NA
GREENWAY,CONTRAFLOW,NA
GUILFORD AVE,CONTRAFLOW,NA
GUILFORD TERR,CONTRAFLOW,NA
GWYNN OAK AVE,CONTRAFLOW,NA
HAMLIN AVE,CONTRAFLOW,NA
HILLEN ROAD,CONTRAFLOW,NA
HILTON ROAD,CONTRAFLOW,NA
HUNTINGDON PATH,CONTRAFLOW,NA
JACKSON ST,CONTRAFLOW,NA
KELLY AVE,CONTRAFLOW,NA
KESWICK ROAD,CONTRAFLOW,NA
LAKE DR,CONTRAFLOW,NA
LAKE MONTEBELLO DR,CONTRAFLOW,NA
LANCASTER ST,CONTRAFLOW,371.20929989
LEAKIN ST,CONTRAFLOW,NA
LIBERTY HEIGHTS AVE,CONTRAFLOW,NA
LIGHT ST,CONTRAFLOW,NA
LOCH RAVEN BLVD,CONTRAFLOW,NA
MADISON AVE,CONTRAFLOW,NA
MC CALLUM DR,CONTRAFLOW,NA
MILLBROOK ROAD,CONTRAFLOW,NA
MORAVIA PARK DR,CONTRAFLOW,NA
N BROADWAY,CONTRAFLOW,NA
N CENTRAL AVE,CONTRAFLOW,NA
N CHARLES,CONTRAFLOW,NA
N CHARLES ST,CONTRAFLOW,NA
N HIGHLAND AVE,CONTRAFLOW,NA
N ROGERS AVE,CONTRAFLOW,NA
NORTHWOOD DR,CONTRAFLOW,NA
NORWOOD ROAD,CONTRAFLOW,NA
NOTRE DAME LANE,CONTRAFLOW,NA
O'DONNELL ST CUT OFF,CONTRAFLOW,NA
PACIFIC ST,CONTRAFLOW,NA
PARK HEIGHTS AVE,CONTRAFLOW,NA
PENTWOOD ROAD,CONTRAFLOW,NA
PIMLICO ROAD,CONTRAFLOW,NA
POST ROAD,CONTRAFLOW,NA
POTEE ST,CONTRAFLOW,NA
PRESIDENT ST,CONTRAFLOW,NA
RIVERSIDE AVE,CONTRAFLOW,NA
ROLAND AVE,CONTRAFLOW,NA
S BROADWAY,CONTRAFLOW,NA
S CAROLINE ST,CONTRAFLOW,NA
S CENTRAL AVE,CONTRAFLOW,NA
S CONKLING ST,CONTRAFLOW,NA
S EXETER ST,CONTRAFLOW,NA
S HANOVER,CONTRAFLOW,NA
S HANOVER ST,CONTRAFLOW,NA
S HAVEN ST,CONTRAFLOW,NA
S HIGHLAND AVE,CONTRAFLOW,NA
S MONTFORD AVE,CONTRAFLOW,NA
S PRESIDENT ST,CONTRAFLOW,NA
SAINT PAUL ST,CONTRAFLOW,NA
SAN MARTIN DR,CONTRAFLOW,NA
SEQUOIA AVE,CONTRAFLOW,NA
STUART AVE,CONTRAFLOW,NA
THE ALAMEDA,CONTRAFLOW,NA
TRAINOR AVE,CONTRAFLOW,NA
TRINITY ST,CONTRAFLOW,NA
VAN LILL ST,CONTRAFLOW,NA
W 33RD ST,CONTRAFLOW,NA
W 36TH ST,CONTRAFLOW,NA
W 39TH ST,CONTRAFLOW,NA
W BELVEDERE AVE,CONTRAFLOW,NA
W COLD SPRING LANE,CONTRAFLOW,NA
W LANVALE ST,CONTRAFLOW,420.20320266
W LOMBARD ST,CONTRAFLOW,NA
W PRATT ST,CONTRAFLOW,NA
W ROGERS AVE,CONTRAFLOW,NA
W UNIVERSITY PKWY,CONTRAFLOW,NA
WABASH AVE,CONTRAFLOW,NA
WALTHER AVE,CONTRAFLOW,NA
WARREN AVE,CONTRAFLOW,NA
WHITMAN DR,CONTRAFLOW,NA
WILLIAM ST,CONTRAFLOW,NA
WINANS WAY,CONTRAFLOW,NA
WINSTON AVE,CONTRAFLOW,NA
WINSTON-ROSSITER,CONTRAFLOW,NA
WINSTON-STONEWOOD,CONTRAFLOW,NA
WYMAN PARK DR,CONTRAFLOW,NA
YORK ROAD,CONTRAFLOW,NA
ALBEMARLE ST,SHARED BUS BIKE,NA
ALICEANNA ST,SHARED BUS BIKE,NA
ARGONNE DR,SHARED BUS BIKE,NA
ART MUSEUM DR,SHARED BUS BIKE,NA
AUCHENTOROLY TERR,SHARED BUS BIKE,NA
BANK ST,SHARED BUS BIKE,NA
BATTERY AVE,SHARED BUS BIKE,NA
BEAUMONT AVE,SHARED BUS BIKE,NA
BELAIR ROAD,SHARED BUS BIKE,NA
BOSTON ST,SHARED BUS BIKE,NA
CHARLCOTE ROAD,SHARED BUS BIKE,NA
CHERRY HILL ROAD,SHARED BUS BIKE,NA
CHERRYLAND ROAD,SHARED BUS BIKE,NA
CHESTNUT AVE,SHARED BUS BIKE,NA
CLARKS LANE,SHARED BUS BIKE,NA
CORSE AVE,SHARED BUS BIKE,NA
CROSS COUNTRY BLVD,SHARED BUS BIKE,NA
CURRAN DR,SHARED BUS BIKE,NA
DOLFIELD AVE,SHARED BUS BIKE,NA
DRUID PARK LAKE DR,SHARED BUS BIKE,NA
E 33RD ST,SHARED BUS BIKE,NA
E 34TH ST,SHARED BUS BIKE,NA
E BALTIMORE ST,SHARED BUS BIKE,NA
E CLEMENT ST,SHARED BUS BIKE,NA
E COLD SPRING LANE,SHARED BUS BIKE,NA
E GITTINGS ST,SHARED BUS BIKE,NA
E LANVALE ST,SHARED BUS BIKE,NA
E LOMBARD ST,SHARED BUS BIKE,2873.97724618
E MONUMENT ST,SHARED BUS BIKE,NA
E MOUNT ROYAL AVE,SHARED BUS BIKE,NA
E PRATT ST,SHARED BUS BIKE,3030.20096856
E UNIVERSITY PKWY,SHARED BUS BIKE,NA
EASTERN AVE,SHARED BUS BIKE,NA
ECHODALE AVE,SHARED BUS BIKE,NA
EDMONDSON AVE,SHARED BUS BIKE,NA
ESSEX ST,SHARED BUS BIKE,NA
ETHELBERT AVE,SHARED BUS BIKE,NA
FAIRHAVEN AVE,SHARED BUS BIKE,NA
